Language,Link,Paradigm,First Appeared,Number of Headers,Number of links/url
['A.NET (A#/A sharp)'],https://en.wikipedia.org//wiki/A_Sharp_(.NET),,18 years ago,3,166
['B'],https://en.wikipedia.org//wiki/B_(programming_language),,53 years ago,3,315
['C'],https://en.wikipedia.org//wiki/C_(programming_language),"<a class=""mw-redirect"" href=""/wiki/Multi-paradigm_programming_language"" title=""Multi-paradigm programming language"">Multi-paradigm</a>",50 years ago,2,1522
['D'],https://en.wikipedia.org//wiki/D_(programming_language),"<a class=""mw-redirect"" href=""/wiki/Multi-paradigm_programming_language"" title=""Multi-paradigm programming language"">Multi-paradigm</a>",20 years ago,2,850
['E'],https://en.wikipedia.org//wiki/E_(programming_language),"<a class=""mw-redirect"" href=""/wiki/Multi-paradigm_programming_language"" title=""Multi-paradigm programming language"">Multi-paradigm</a>",20 years ago,3,850
['F'],https://en.wikipedia.org//wiki/F_(programming_language),"<a href=""/wiki/Object-oriented_programming"" title=""Object-oriented programming"">object-oriented programming</a>",20 years ago,2,850
['Game Maker Language'],https://en.wikipedia.org//wiki/Game_Maker_Language,"<a href=""/wiki/Imperative_programming"" title=""Imperative programming"">imperative</a>",22 years ago,1,575
['Hack'],https://en.wikipedia.org//wiki/Hack_(programming_language),,22 years ago,2,575
['Io'],https://en.wikipedia.org//wiki/Io_(programming_language),"<a href=""/wiki/Object-oriented_programming"" title=""Object-oriented programming"">object-oriented</a>",20 years ago,2,217
['J'],https://en.wikipedia.org//wiki/J_(programming_language),"<a href=""/wiki/Object-oriented_programming"" title=""Object-oriented programming"">object-oriented programming</a>",32 years ago,3,294
['K'],https://en.wikipedia.org//wiki/K_(programming_language),"<a href=""/wiki/Functional_programming"" title=""Functional programming"">functional</a>",29 years ago,3,240
['LabVIEW'],https://en.wikipedia.org//wiki/LabVIEW,,36 years ago,2,488
['M Formula language'],https://en.wikipedia.org//wiki/M_Formula_language,,36 years ago,3,488
['NASM'],https://en.wikipedia.org//wiki/Netwide_Assembler,,25 years ago,2,289
['o:XML'],https://en.wikipedia.org//wiki/O:XML,,25 years ago,3,289
['P'],https://en.wikipedia.org//wiki/P_(programming_language),,10 years ago,3,549
['Q (programming language from Kx Systems)'],https://en.wikipedia.org//wiki/Q_(programming_language_from_Kx_Systems),"<a href=""/wiki/Functional_programming"" title=""Functional programming"">functional</a>",2 years ago,3,193
['R'],https://en.wikipedia.org//wiki/R_(programming_language),"<a class=""mw-redirect"" href=""/wiki/Multi-paradigm_programming_language"" title=""Multi-paradigm programming language"">Multi-paradigm</a>",28 years ago,2,1305
['S'],https://en.wikipedia.org//wiki/S_(programming_language),"<a class=""mw-redirect"" href=""/wiki/Multi-paradigm_programming_language"" title=""Multi-paradigm programming language"">multi-paradigm</a>",46 years ago,3,184
['T'],https://en.wikipedia.org//wiki/T_(programming_language),"<a class=""mw-redirect"" href=""/wiki/Multi-paradigm_programming_language"" title=""Multi-paradigm programming language"">Multi-paradigm</a>",40 years ago,3,346
['Ubercode'],https://en.wikipedia.org//wiki/Ubercode,,40 years ago,3,346
['Vala'],https://en.wikipedia.org//wiki/Vala_(programming_language),"<a href=""/wiki/Imperative_programming"" title=""Imperative programming"">imperative</a>",16 years ago,2,541
"['WATFIV, WATFOR (WATerloo FORtran IV)']",https://en.wikipedia.org//wiki/WATFIV_(programming_language),"<a href=""/wiki/Structured_programming"" title=""Structured programming"">structured programming</a>",16 years ago,2,541
['X++ (X plus plus/Microsoft Dynamics AX)'],https://en.wikipedia.org//wiki/X%2B%2B,,16 years ago,2,541
['Yorick'],https://en.wikipedia.org//wiki/Yorick_(programming_language),,26 years ago,2,167
['Z notation'],https://en.wikipedia.org//wiki/Z_notation,,26 years ago,3,167
